post_id,user_id,comment_text
1,1,"such a nice cute humbke kind gentke face"
1,24,"Beauty is power; a smile is its sword."
2,14,"I love your curly hair."
2,33,"Looking good, man."
2,46,"This place looks exotic."
3,7,Hot
3,12,"Your beauty has no boundaries."
3,18,BASDHIYAYY
3,34,"briallant keep working"
3,46," Surely you would have been arrested if looking immensely beautiful was a crime."
4,28,"Impressive picture."
4,40,Awesome
5,23,". I wish I had your makeup."
5,30,"Looks delish! Did you cook that?!?"
5,39,"Your smile makes me Happy."
5,50,"kaise ho bro"
6,5,"Friends forever. "
6,23,"They will grow up so fast!"
6,35,"I wonder how cute you would be looking when you sleep."
7,18,"He + me = forever"
8,33,"GREAT TO SEE U ALIVE "
10,6,"GREAT JOB "
10,18,"I love how vibrant colors are in the picture."
11,35,"Needed that, thanks!"
11,40,"Such a charming picture."
12,17,"looking greate bhai"
12,25,Gorgeous!!
13,9,"They say love is beautiful, but I say friendship is better. "
13,14,"You look energetic."
13,21,"I agree/disagree."
13,25,"Selfie/picture of themselves:"
15,23,"KICKASS LOKK!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
16,24,"I’m so happy for you."
16,26,"Cant get my eyes off"
18,16,Enjoy!!
18,25,cute!
18,36,"This is purely magic."
18,49,"You are cute."
19,6,"Your content is amazing."
20,9,"This picture is lit!!"
20,43,"?????? (three heart-eyed emojis)"
21,29,"Nice shot… etc etc :)"
21,47,"You are graceful."
22,1,FDSAFDS
22,25,"lovely pet you got there!"
23,31,"MSRJAA AJJJRJKLFDSA "
23,31,"SUPER "
24,25,". You look more beautiful than in the photo."
25,14,". That natural beauty tho."
25,15,"You are the coolest. "
25,32," I like your hair."
25,32,"Ou la la"
26,6,"great man"
26,20,"A picture of their pet/pets:"
26,32,"AAGT LGADI BHAI MAJA AA GYA  "
26,37,"Sorry for your loss. My condolences go to you and your family."
26,44,"Woo!! Congrats newlywed!"
27,8,"sahi lgg rha h bss "
27,8,"Your eyes sparkle like something I've never seen before."
27,18,"A picture of their meal:"
28,26,"A picture of their family or children:"
29,6,"The power of beauty lies within the soul."
29,15,"nice place keep enjoying"
29,20,"Lovely children."
29,42,OMG!
29,47,"You are so much lovely."
29,48,"Never seen a selfie of yours that I don't like. "
30,13,"Beautiful picture, love the colors."
30,31,"Death of a loved one:"
30,42,"Elegant picture."
31,7,"Looking good!"
32,19,"Wow!! In love!!"
33,15,Hero
33,48,"Beauty lies within for those who choose to see."
34,13," Not enough for me, you are everything."
35,7,"OH MAH GOSH!!"
35,15,"Handsome hunk"
36,20,"Flawless outstanding eccentric lovely beauty."
36,48,"An inspirational quote:"
37,34,"aag lga di bhai"
37,47," I guess this is your best look, you look beautiful in this outfit."
38,20,"GOOOD DATYYYYYYYYYYYYYYYYYYYYYYYYYYYYY"
38,23,"boht tezz ho rhe ho "
39,3,"This one is fire"
39,5,"You are very much adorable."
39,13,"I love the aesthetics of this picture."
39,41,"Your dressing sense is appreciable."
40,33," You are the sweetest girl I have ever seen."
41,33,"Just ‘WOW’ for your natural beauty."
41,47,"NICE PLACE AND WATVH"
41,47,"This picture is worth a thousand words."
42,4,"aag lga di h bss fire extinguisher bulana pdega"
42,11,Bromantic
42,19,"Wtf, how are you so pretty/handsome?"
42,30,"Adorable picture and Your smile makes me Happy."
43,9,"The beauty has no boundaries in this picture."
44,7,"?????? (three heart-eyed emojis)"
44,41,"In nature, light creates the color. In the picture, color creates the light."
45,14,"I love how comfortable you are in your world."
45,25,"The stars, the moon, and the sun are minor to me since you sparkle brighter than all of them."
45,27,"Woow!! Hands down!!"
45,35,"You are pleasing."
46,11,"Did you have fun up there?"
47,45,"You look even more pretty without makeup."
48,43,"Sorry for your loss, friend. If you need to talk, I’m always there for you."
48,44,"Soooooo cute!!"
49,8,"I own this male"
49,21,"great bhai meetu soon "
49,25,"Your beauty is irresistible!!"
49,32,"My words are less to describe this picture."
51,35,"You are my safest place."
51,39,"You’re an incredibly stunning, a really pretty, beautiful woman."
52,26,"The bookeh is dope"
53,26,"Clean shot!!"
56,5,"My condolences."
57,44,Pretty/beautiful!
58,4,"COOL PIC "
58,10,"You mean the world to me."
58,39,Handsome!
58,40,"great concepts."
59,6,Classic
59,25,"ek kahani h jo sabko sunnani h jakne wako ki toh rooh bhi jaalani h"
59,45,"Adorable picture."
59,45,"This picture made my day."
60,18,"Great shot!!"
60,47,"NICE GREAT"
61,1,"Looking Gorgeous and This picture made my day. "
61,36,"DUBAI IS SLIVWE"
62,31,"mast h bhai , mill tabb btata hu kon mast h "
62,48,"Nailed it"
64,44,"The word pretty is worthless without you."
64,49,"Such a scenic view ,looks great."
66,12,"Inspired! Thanks for the share."
66,23,"You are the coolest. "
66,50,Anniversary:
67,11,"High af"
67,22,"My word can’t describe your beauty!!"
68,22,"You look mesmerizing."
68,34,"You are the coolest. "
68,41,"MSRJAA AJJJRJKLFDSA"
69,16,"WONDERFUL IMORESSIVE"
69,19,"My squad"
69,19,"You are the coolest. "
69,39,"That's dope"
70,10,"You have the most beautiful smile."
70,22,". Your sense of fashion is great."
71,1,"Love your outfit!!"
71,43,"Your beauty is irresistible."
72,39,"Impressive picture. "
72,41,"Great tones man"
73,5,"??????(the drooling mouth emoji)"
74,31,"Love the view."
75,40,Landscape/Scenery:
76,20,"Adorable kids, you got there!"
77,38,"You are a symbol of beauty."
78,14,"You are stunning."
78,39,"AAGT LGADI BHAI MAJA AA GYA "
79,29,". I love that straight hair of yours."
80,24,"I remember when they were X small!! Time flies by to fast!"
80,49,"Rip (person’s name)."
81,4,"You are the definition of Beauty"
81,28,"nice man !! loved it"
81,46," Just when I couldn’t love you more. You posted this pic and my jaw dropped to the floor."
82,29,"Great shot!"
83,7,"rakh neeche rakh teri toh"
83,25,"This one is classic"
83,30,"ADORABLE CHILL LIFE"
83,36,"I think this is the best I’ve seen till now."
83,43,"Looking Gorgeous ."
83,48,"bawnadar aayega abb "
84,36,MESSY!
85,13,"I feel so happy to be with you."
85,42,"You mean the world to me"
86,21,"soon will join you all"
86,46,"You have the most beautiful, sparkling eyes."
86,49,"Congratulations on your X years of marriage/engagement!!"
86,50,"That beard tho (if you go in for details)"
87,15,"Yummy in my tummy. Yum!"
88,11,"Crisp shot man."
89,34,"You’re classy."
92,15,Congrats!
92,27,"bade acche ho beta"
93,6,"Nice shot!!"
93,36,"My man"
93,48,"xing of public record "
94,13,Inspirational
94,15," You look stunning."
94,18,"This boy is mine"
95,49,"You look strong and confident."
96,19," Surely you are the most beautiful woman alive, the most that I’ve seen."
96,39,"CHAL BE HERO"
97,27,"You are the coolest. "
98,31,"Sexy pose of themselves:"
98,46,"GOOOD DAY !!!!!!!!!!!!!!!!!!!! "
99,9,"Picture of their outfit or OOTD (outfit of the day):"
99,15,"You look beautiful in that dress."
100,1," You’re very trendy"
100,20,"Impressive picture."
100,35,"OMG! Be my wife or dad already!!"
